
xv6 kernel is booting

hart 2 starting
hart 1 starting
init: starting sh

$ strace 2 usertests forkforkfork
usertests starting
3: syscall fork -> 4
test forkforkfork: 3: syscall fork -> 5
5: syscall fork -> 6
7: syscall fork -> 8
8: syscall fork -> 9
6: syscall fork -> 7
8: syscall fork -> 11
7: syscall fork -> 10
6: syscall fork -> 12
8: syscall fork -> 13
7: syscall fork -> 14
8: syscall fork -> 15
7: syscall fork -> 16
8: syscall fork -> 17
6: syscall fork -> 18
7: syscall fork -> 20
6: syscall fork -> 21
8: syscall fork -> 19
7: syscall fork -> 22
6: syscall fork -> 23
8: syscall fork -> 24
6: syscall fork -> 25
8: syscall fork -> 26
7: syscall fork -> 27
9: syscall fork -> 28
8: syscall fork -> 29
7: syscall fork -> 30
9: syscall fork -> 31
6: syscall fork -> 32
9: syscall fork -> 33
6: syscall fork -> 34
7: syscall fork -> 35
9: syscall fork -> 36
7: syscall fork -> 37
9: syscall fork -> 38
7: syscall fork -> 39
9: syscall fork -> 40
7: syscall fork -> 41
10: syscall fork -> 42
7: syscall fork -> 43
9: syscall fork -> 44
7: syscall fork -> 45
10: syscall fork -> 46
7: syscall fork -> 47
10: syscall fork -> 48
7: syscall fork -> 49
10: syscall fork -> 50
7: syscall fork -> 51
10: syscall fork -> 52
6: syscall fork -> 53
7: syscall fork -> 54
6: syscall fork -> 55
7: syscall fork -> 56
6: syscall fork -> 57
7: syscall fork -> 58
8: syscall fork -> 59
7: syscall fork -> 60
8: syscall fork -> 61
7: syscall fork -> 62
8: syscall fork -> 63
7: syscall fork -> 64
8: syscall fork -> 65
7: syscall fork -> -1
8: syscall fork -> -1
OK
3: syscall fork -> 66
ALL TESTS PASSED
$ qemu-system-riscv64: terminating on signal 15 from pid 114430 (make)

